theta1_des_log,theta2_des_log,theta3_des_log,theta4_des_log,Theta1FPID,Theta2FPID,Theta3FPID,Theta4FPID,Theta1KFPID,Theta2KFPID,Theta3KFPID,Theta4KFPID
145.0,112.0,109.0,123.0,(145.364+0j),(111.944+0j),109.03200000000001,123.096,144.9377302231765,112.05365291170027,108.93313376561828,122.85524563235515
144.83703703703705,112.17925925925927,109.11733333333333,122.91199999999999,(1202.7575285741348+0j),(-1108.3600650743656+0j),0.0,0.0,145.23431876153873,112.59415061433658,109.71411296159566,123.3942444594929
144.36296296296297,112.70074074074074,109.45866666666667,122.656,(1201.9538269854622+0j),(-1154.6640605967218+0j),0.0,0.0,144.32904501935636,112.65206689630436,109.29244416926478,122.49102023696216
143.6,113.54,110.008,122.244,(1201.4959279445684+0j),(-1107.8123655970799+0j),0.0,0.0,143.89814354393695,113.8981255158294,110.2981187582739,122.53813549695386
142.57037037037037,114.6725925925926,110.74933333333334,121.688,(1199.9133315573026+0j),(-1138.2838954688814+0j),0.0,0.0,142.527668653523,114.68875914207928,110.60897867369502,121.64842113752967
141.2962962962963,116.07407407407408,111.66666666666667,121.0,(1198.4189329210124+0j),(-1105.3889574642994+0j),0.0,0.0,141.22351270127555,116.02549033878942,111.46594313410516,120.82504739669237
139.8,117.72,112.744,120.19200000000001,(1196.8834695397065+0j),(-1129.3004924441357+0j),0.0,0.0,139.74756465874617,117.42819070309744,112.62840810856264,120.0680868130667
138.1037037037037,119.58592592592592,113.96533333333333,119.276,(1194.8396325370163+0j),(-1106.9938785315119+0j),0.0,0.0,137.79170512251693,119.31273253322419,113.79312930923899,119.07274870823107
136.22962962962964,121.64740740740741,115.31466666666665,118.264,(1192.9979096210755+0j),(-1123.4646198491496+0j),0.0,0.0,136.6802339376315,122.04022952045368,115.56022541367206,118.68022765807595
134.2,123.88,116.776,117.168,(1190.5554426367075+0j),(-1106.3037673683011+0j),0.0,0.0,134.5104201344173,124.19041741258822,117.23041165854617,117.47041192117884
132.03703703703704,126.25925925925924,118.33333333333333,116.0,(1188.5585718977075+0j),(-1117.2013892280725+0j),0.0,0.0,132.45604664720895,126.69602686971324,118.77598373184209,116.37596548304161
129.76296296296297,128.76074074074074,119.97066666666666,114.77199999999999,(1186.2045804363931+0j),(-1103.3936140846654+0j),0.0,0.0,129.77053813411223,128.81056172498222,119.93082711184246,114.65103170111554
127.4,131.36,121.672,113.49600000000001,(1183.8676258536693+0j),(-1111.072042763321+0j),0.0,0.0,127.81874417665519,131.65875134014388,122.05872913332895,113.89869441428716
124.97037037037036,134.0325925925926,123.42133333333334,112.184,(1181.0811939405871+0j),(-1099.5936119899156+0j),0.0,0.0,125.48764171239026,134.36764763582948,123.80764008822138,112.52762031157725
122.49629629629628,136.75407407407408,125.20266666666667,110.848,(1178.723360658798+0j),(-1105.7807364727864+0j),0.0,0.0,122.83963541332278,137.23963875707156,125.71963646421521,111.3196271972545
119.99999999999999,139.5,127.0,109.5,(1176.3276075040426+0j),(-1096.0021265840933+0j),0.0,0.0,119.95352590002332,139.39310439195916,126.91334359445581,109.39389648243072
117.50370370370369,142.24592592592592,128.79733333333334,108.152,(1173.9319457228848+0j),(-1099.2337478941781+0j),0.0,0.0,118.11140362862638,142.83142570333507,129.39141863178332,108.75137648915774
115.02962962962962,144.9674074074074,130.57866666666666,106.81599999999999,(1171.2379848098951+0j),(-1091.0574652972164+0j),0.0,0.0,115.46409415712354,145.46415947102304,131.06414351283541,107.30403667898086
112.6,147.64000000000001,132.328,105.504,(1168.9556643217848+0j),(-1093.4124500679436+0j),0.0,0.0,112.53588732390912,147.57509021252164,132.21547686035606,105.57596920087173
110.23703703703701,150.23925925925926,134.02933333333334,104.22800000000001,(1166.7865990032553+0j),(-1086.2764134663616+0j),0.0,0.0,110.70021664340186,150.78029610947775,134.4602839721456,104.70017492729586
107.96296296296295,152.74074074074076,135.66666666666669,103.0,(1164.4326936392736+0j),(-1087.960826344332+0j),0.0,0.0,107.90014837302732,152.5461869608817,135.50424114198017,102.85923258489458
105.79999999999998,155.12,137.224,101.832,(1162.0996279327123+0j),(-1082.0431847138357+0j),0.0,0.0,105.67631235037645,154.86597186273067,137.10894445018656,101.59751655315297
103.77037037037036,157.3525925925926,138.68533333333335,100.73599999999999,(1160.3292890876307+0j),(-1083.4778392112871+0j),0.0,0.0,103.66472300356675,157.43158981758472,138.71002695339268,100.78410597746223
101.89629629629627,159.4140740740741,140.03466666666668,99.72399999999998,(1158.6553490059814+0j),(-1078.8295337383547+0j),0.0,0.0,102.4185672512534,159.77885419473876,140.33883480408375,100.25852350287911
100.19999999999999,161.28000000000003,141.25600000000003,98.80799999999999,(1156.9476571682565+0j),(-1079.411593968437+0j),0.0,0.0,100.04804467276064,161.24080125324835,141.3225315306641,98.84826405943599
98.7037037037037,162.92592592592595,142.33333333333334,97.99999999999999,(1155.747937620421+0j),(-1075.8535856538165+0j),0.0,0.0,98.53970874376212,162.85962834388957,142.21951526927998,97.81972543862227
97.4296296296296,164.3274074074074,143.2506666666667,97.31199999999998,(1154.4220167194917+0j),(-1076.2340886314364+0j),0.0,0.0,98.0024033927708,164.9626139332787,143.8426089158585,97.76239937883467
96.39999999999999,165.45999999999998,143.99200000000002,96.756,(1153.511634448136+0j),(-1073.9274630558566+0j),0.0,0.0,97.0120699982603,165.8923432952919,144.53233660620367,97.25207487173883
95.63703703703703,166.29925925925926,144.54133333333334,96.344,(1152.886604308486+0j),(-1074.6160614570401+0j),0.0,0.0,95.44529749737684,166.24433691185192,144.40484578591432,96.16529946377504
95.16296296296295,166.82074074074072,144.88266666666667,96.088,(1152.920673516723+0j),(-1073.3234954241855+0j),0.0,0.0,95.26713427499273,166.79217464133617,144.9515662166991,95.98725330403572
95.0,167.0,145.0,96.0,(1152.811630806134+0j),(1225.225291400644+0j),0.0,0.0,94.97472489768786,166.97930232788303,144.89801797705323,95.93478521532074
95.16296296296296,166.82074074074075,144.88266666666667,96.08800000000001,(1153.0079218843364+0j),(1224.9301445509573+0j),0.0,0.0,95.77247728178872,167.29280088717272,145.4527918583245,96.49249285535755
95.63703703703705,166.29925925925926,144.54133333333334,96.344,(1154.0747267859+2.1052130535649905e-07j),(1224.3045087454675+2.1052130535649905e-07j),0.0,0.0,95.90120804675567,166.70159421699685,144.86157420891834,96.62122380490818
96.4,165.46,143.992,96.756,(1155.2932233416382+5.524504020102221e-07j),(1222.7992336049672+5.524504020102221e-07j),0.0,0.0,96.47569175390998,165.3523348560447,143.99280125887253,96.71566569686215
97.42962962962963,164.3274074074074,143.2506666666667,97.312,(1156.242316750221+4.038516558754309e-06j),(1221.4165497489957+4.038516558754309e-06j),0.0,0.0,97.4343526200272,164.39074051300048,143.27147494618288,97.19437344230847
98.70370370370371,162.92592592592592,142.33333333333334,98.0,(1157.7077233726432+9.062186233916335e-06j),(1219.5095169314966+9.062186233916335e-06j),0.0,0.0,99.16745976444544,163.4877557082987,142.84774366796105,98.44744457068614
